country_name,iso3c,population
South Asia (IDA & IBRD),TSA,1938549529
South Sudan,SSD,11088796
Spain,ESP,48373336
Sri Lanka,LKA,22037000
St. Kitts and Nevis,KNA,47755
St. Lucia,LCA,180251
St. Martin (French part),MAF,32077
St. Vincent and the Grenadines,VCT,103698
Sub-Saharan Africa (IDA & IBRD countries),TSS,1241897817
Sub-Saharan Africa (excluding high income),SSA,1241778044
Sudan,SDN,48109006
Suriname,SUR,623236
Sweden,SWE,10536632
Switzerland,CHE,8849852
Syrian Arab Republic,SYR,23227014
Tajikistan,TJK,10143543
Tanzania,TZA,67438106
Thailand,THA,71801279
Timor-Leste,TLS,1360596
Togo,TGO,9053799
Tonga,TON,107773
Trinidad and Tobago,TTO,1534937
Tunisia,TUN,12458223
Turkiye,TUR,85326000
Turkmenistan,TKM,6516100
Turks and Caicos Islands,TCA,46062
Tuvalu,TUV,11396
Uganda,UGA,48582334
Ukraine,UKR,37000000
United Arab Emirates,ARE,9516871
United Kingdom,GBR,68350000
United States,USA,334914895
Uruguay,URY,3423108
Uzbekistan,UZB,36412350
Vanuatu,VUT,334506
"Venezuela, RB",VEN,28838499
Virgin Islands (U.S.),VIR,104917
West Bank and Gaza,PSE,5165775
World,WLD,8024997028
"Yemen, Rep.",YEM,34449825
Zambia,ZMB,20569737
Zimbabwe,ZWE,16665409
